round,p1name,p2name,p1wins,p2wins,draws,p2advantage,cloning_triggered,clone_generation
1,Initial q player (1),Initial q player (2),0,0,2,0.0,false,1
1,Initial q player (1),Initial q player (2),0,0,2,0.0,false,1
